ï»¿"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Glucose","Caenorhabditis elegans","37.5","7.14","N2","4%","Y","26764305"
"Naphthazarin","Caenorhabditis elegans","8","7","N2","100 µM","Y","21765926"
"Butylated hydroxyanisole","Zaprionus paravittiger","7.9","6.9","","5 mM","Y","9207858"
"Royal Jelly Protein","Drosophila melanogaster","8.96","6.9","Canton-S","1.25%","Y","27388939"
"N-Acetyl Cysteine","Drosophila virilis","22.6","6.9","","10 nM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","16","6.9","","1 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila virilis","22.7","6.9","","10 µM","Y","30243020"
"Naringin","Caenorhabditis elegans","11.5","6.8","N2","10 µM","Y","29375370"
"Ascorbic acid","Paramecium tetraurelia","12.1","6.7","","50 mg/L","ND","9406982"
"Vitamin E","Asplanchna brightwelli","16.4","6.7","clone 4B61","3 mM","Y","15374519"
"Butylated hydroxyanisole","Zaprionus paravittiger","18.4","6.6","","5 mM","Y","9207858"
"Rhodiola rosea","Drosophila melanogaster","16.7","6.6","IF","5 mg/ml","Y","24472572"
"Omega-3 Monoacylglyceride Docosahexaenoic acid","Drosophila melanogaster","14.58","6.56","w1118","0.3 mg/mL","Y","30453574"
"Tetrahydrocurcumin","Mus musculus","10.7","6.5","C57BL/6J","0.002","Y","17516143"
"L-isoleucine","Caenorhabditis elegans","9.5","6.45","N2","5 mM","Y","26620638"
"Ascorbic acid","Caenorhabditis elegans","-3.59","6.45","N2","5 mM","Y","27683245"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","12.4","6.4","Oregon R","4 µl/100 ml media","Y","20738162"
"Rosa damascena extract","Drosophila melanogaster","14.5","6.4","w1118","","Y","21928072"
"Sodium hypophosphite","Zaprionus paravittiger","1","6","","1 µM","Y","3721207"
"Plumbagin","Caenorhabditis elegans","11","6","N2","25 µM","Y","21765926"
"Nicotinamide","Caenorhabditis elegans","6.5","6","N2","100 µM","Y","24077178"
"Methylene blue","Mus musculus","0.7","6","UM-HET3","27 mg/kg diet","Y","24245565"
"Rhodiola rosea","Drosophila melanogaster","14.3","6","IF","10 mg/ml","Y","24472572"
"Icariin","Mus musculus","8","6","C57BL/6J","0.02% in food","N","26145038"
"Rapamycin","Mus musculus","3","6","UM-HET3","4.7 mg of drug per kg of food","N","24341993"
"Protandim","Mus musculus","7","6","UM-HET3","600 ppm in chow","Y","27312235"
"Pyrroloquinoline quinone","Caenorhabditis elegans","10","6","N2","15 mM","Y","28676501"
"Quercetin","Drosophila melanogaster","13","6","Canton S","1 µM","Y","28066251"
"Tiliroside","Drosophila melanogaster","15.56","5.88","Oregon R","100 µM","Y","28887920"
"Sodium hypophosphite","Zaprionus paravittiger","5.3","5.7","","1 µM","Y","3721207"
"Resveratrol","Anastrepha ludens","3.8","5.7","","100 µM","N","19264118"
"Baicalein","Drosophila melanogaster","8.53","5.7","w1118","0.04mg/ml","Y","26778291"
"Naproxen","Brachionus manjavacas","13.93","5.56","","1 µM","Y","27484416"
"Buformin","Rattus norvegicus","7","5.5","LIO","5 mg/day","Y","14618027"
"D-glucosamine","Mus musculus","5.6","5.5","C57BL/6NRj","10 g/kg","Y","24714520"
"Chlorpromazine","Mus musculus","-0.2","5.5","C57BL/6J","16.7 µg/mL","N","4788962"
"Resveratrol","Anastrepha ludens","-4.9","5.4","","100 µM","N","19264118"
"Green tea extract","Drosophila melanogaster","7.8","5.3","Oregon-R-C","5 mg/ml","Y","17440995"
"Green tea extract","Drosophila melanogaster","15.7","5.3","Oregon-R-C","10 mg/ml","Y","17440995"
"Green tea extract","Drosophila melanogaster","5.9","5.3","Oregon-R-C","1 mg/ml","Y","17440995"
"Vitexin","Caenorhabditis elegans","8","5.3","N2","50 µM","Y","26535084"
"Pine Bark extract","Caenorhabditis elegans","","5.2","N2","10 µg/mL","Y","19350411"
"Royal Jelly Protein","Drosophila melanogaster","12.43","5.17","Canton-S","2.50%","Y","27388939"
"Melatonin","Paramecium tetraurelia","10.8","5.1","","10 mg/L","ND","9406982"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","1","5.1","Oregon R+","","N","25628774"
"Cranberry anthocyanin extract","Drosophila melanogaster","10.4","5.1","Oregon-R-C","20 mg/ml","Y","26159161"
"N-tert-butyl-alpha-phenylnitrone","Mus musculus","3.8","5","C57BL/6J","0.25 mg/ml of water","Y","9614711"
"Alpha-lipoic acid","Drosophila melanogaster","12","5","Canton S","0.01%","ND","15328413"
"Resveratrol","Anastrepha ludens","2.3","5","","100 µM","N","19264118"
"Oxoline","Caenorhabditis elegans","2","5","N2","100 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","3","5","N2","2.5 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","15","5","N2","25 µM","Y","21765926"
"Plumbagin","Caenorhabditis elegans","12","5","N2","50 µM","Y","21765926"
"Rapamycin","Mus musculus","16","5","UM-HET3","4.7 mg of drug per kg of food","Y","24341993"
"Curcumin","Drosophila melanogaster","3.01","4.91","Canton-S","0.2 mg/g","N","30488487"
"N-Acetyl Cysteine","Drosophila virilis","18.7","4.9","","100 nM","Y","30243020"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","4.8","4.8","N2","25 µM","N","17156833"
"trans-3,5-dimethoxy-4-fluoro-4'-hydroxystilbene","Caenorhabditis elegans","3.63","4.76","N2","100 µM","Y","27882602"
"2-Selenium-bridged β-cyclodextrin","Caenorhabditis elegans","7.24","4.76","N2","0.5 mM","Y","101039"
"2-Selenium-bridged-beta-cyclodextrin","Caenorhabditis elegans","7.24","4.76","N2","0.5 mM","Y","101039"
"2-Selenium-bridged-beta-cyclodextrin","Caenorhabditis elegans","8.69","4.76","N2","5 mM","Y","101039"
"Ribes fasciculatum eylacetate fraction","Caenorhabditis elegans","11.1","4.76","N2","250 µg/mL","Y","27478096"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","5.3","4.7","Oregon R+","","N","25628774"
"N-Acetyl Cysteine","Drosophila melanogaster","5.6","4.7","Canton-S","10 nM","Y","30243020"
"N-Acetyl Cysteine","Drosophila melanogaster","7.4","4.7","Canton-S","1 µM","Y","30243020"
"Baicalein","Drosophila melanogaster","9.32","4.66","w1118","1 mg/ml","Y","26778291"
"Branched-Chain Amino Acids","Mus musculus","12","4.6","B6.129S2","1.5 mg/g body weight","Y","20889128"
"Butylated hydroxyanisole","Zaprionus paravittiger","13.1","4.4","","25 mM","Y","9207858"
"L-theanine","Caenorhabditis elegans","3.6","4.4","N2","0.1 µM","Y","22422488"
"Fucoxanthin","Drosophila melanogaster","14.9","4.4","Canton S","1 µM","Y","29504896"
"α‐linolenic acid","Caenorhabditis elegans","10.49","4.35","N2","2 mM","Y","28772063"
"East Indian sandalwood oil","Caenorhabditis elegans","0.94","4.34","N2","3 µ/mL","N","30319772"
"East Indian sandalwood oil","Caenorhabditis elegans","4.22","4.34","N2","48 µ/mL","N","30319772"
"Naringin","Caenorhabditis elegans","13.5","4.08","N2","1 µM","Y","29375370"
"Naringin","Caenorhabditis elegans","12.57","4.08","N2","5 µM","Y","29375370"
"Naphthazarin","Caenorhabditis elegans","9","4","N2","500 µM","N","21765926"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","7.11","4","N2","300 µM","Y","28992589"
"Lithium Chloride","Drosophila melanogaster","18.5","4","Dahomey","10 mM","Y","27068460"
"Isoprenol","Caenorhabditis elegans","7.81","4","N2","0.1 mM","Y","30624146"
"Baicalein","Drosophila melanogaster","19.8","3.97","w1118","0.2mg/ml","Y","26778291"
"Rhodiola rosea","Drosophila melanogaster","13.6","3.9","IF","10 mg/ml","Y","24472572"
"Torin 1","Drosophila melanogaster","4.55","3.8","Dahomey","1 µM","Y","29329306"
"Pyrroloquinoline quinone","Caenorhabditis elegans","10.16","3.8","N2","1 mM","Y","28676501"
"Resveratrol","Anastrepha ludens","-0.5","3.7","","100 µM","N","19264118"
"Sesame Cake Peptides","Caenorhabditis elegans","15.59","3.57","N2","12.5 µg/ml","Y","27381188"
"Sesame Cake Peptides","Caenorhabditis elegans","13.29","3.57","N2","25 µg/ml","Y","27381188"
"Sesame Cake Peptides","Caenorhabditis elegans","5.2","3.57","N2","50 µg/ml","Y","27381188"
"Creatine","Mus musculus","8.9","3.5","C57BL/6J","0.01","Y","17416441"
"Tocotrienol","Caenorhabditis elegans","8.6","3.5","N2","26 µg","Y","22484623"
"Rhodiola rosea","Drosophila melanogaster","13.6","3.4","IF","5 mg/ml","Y","24472572"
"2,5-Dimethyl-Celecoxib","Drosophila melanogaster","9.07","3.39","Dahomey","0.5 µM","Y","28025308"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","16.6","3.14","N2","200 µM","Y","28992589"
"Resveratrol","Caenorhabditis elegans","16.66","3.13","N2","250 µM","Y","27683245"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","5.7","3.1","Oregon R+","","N","25628774"
"Epicatechin","Drosophila melanogaster","6.95","3.08","Canton S","0.5 µM","Y","28066251"
"Plumbagin","Caenorhabditis elegans","1","3","N2","1 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","3","3","N2","5 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","7","3","N2","10 µM","N","21765926"
"Curcumin","Drosophila melanogaster","-17","3","Ra","100 mM","Y","23063786"
"Icariin in Epimedium Flavonoid","Mus musculus","4","3","C57BL/6J","0.06% in food","N","26145038"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","3.2","2.9","Oregon R+","","N","25628774"
"N-Acetyl Cysteine","Drosophila virilis","31","2.9","","1 mM","Y","30243020"
"Luteolin","Caenorhabditis elegans","0.47","2.76","N2","10 µM","Y","29375370"
"Nectarine","Drosophila melanogaster","17.6","2.7","Canton S","0.04","Y","21406223"
"Rhodiola rosea","Bombyx mori","2.7","2.7","N4","","Y","26497336"
"4-dafachronic acid","Caenorhabditis elegans","0","2.6","N2","250 nM","Y","17360327"
"Diethyl Maleate","Caenorhabditis elegans","4.64","2.33","N2","100 µM","Y","28086197"
"Epicatechin","Drosophila melanogaster","0","2.24","Canton S","0.5 µM","N","28066251"
"Butylated hydroxyanisole","Zaprionus paravittiger","20.5","2.2","","25 mM","Y","9207858"
"Metformin","Rattus norvegicus","2.3","2.1","Fischer 344","300 mg/kg/day","N","20304770"
"Plumbagin","Caenorhabditis elegans","9","2","N2","10 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","10","2","N2","25 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","1","2","N2","100 µM","N","21765926"
"Rhodiola rosea","Bombyx mori","1.5","1.6","N4","","Y","26497336"
"N-Acetyl Cysteine","Drosophila melanogaster","3.7","1.6","Canton-S","1 mM","Y","30243020"
"Platanus orientalis Extract","Drosophila melanogaster","3.26","1.49","Oregon R","1 µg/ml","Y","28887920"
"J147","Drosophila melanogaster","10.35","1.39","(w1118/+)","0.1µM","Y","29316249"
"Butylated hydroxyanisole","Zaprionus paravittiger","4","1.3","","1 mM","N","9207858"
"Green tea polyphenols","Mus musculus","6.4","1.3","C57BL/6J","80 mg/l","Y","17516143"
"L-deprenyl","Rattus norvegicus","5.6","1","F344/DuCrj","0.5 mg/kg. 3 times a week","Y","8030852"
"Oxoline","Caenorhabditis elegans","2","1","N2","50 µM","N","21765926"
"Butylated hydroxyanisole","Zaprionus paravittiger","1.7","0.8","","1 mM","N","9207858"
"Cortisone","Asplanchna brightwelli","-3.2","0","clone 4B61","400 µM","N","2782995"
"Cortisone","Asplanchna brightwelli","-6.3","0","clone 4B61","800 µM","N","2782995"
"Cortisone","Asplanchna brightwelli","2.2","0","clone 4B61","50 µM","N","2782995"
"Cortisone","Asplanchna brightwelli","20.8","0","clone 4B61","100 µM","Y","2782995"
"Cortisone","Asplanchna brightwelli","0.7","0","clone 4B61","10 µM","N","2782995"
"Cortisone","Asplanchna brightwelli","19.3","0","clone 4B61","200 µM","Y","2782995"
"Vitamin E","Philodina","9.2","0","","concentration of 10^ -4","N","7428854"
"Kinetin","Zaprionus paravittiger","-20","0","","625 ppm","N","7488181"
"3,3'-thiodipropionic acid","Asplanchna brightwelli","10","0","clone 4B61","2 mM","Y","15374519"
"Aurintricarboxylic acid","Drosophila melanogaster","15","0","Oregon R","0.5 mM","ND","15621204"
"2,4-dinitrophenol","Drosophila melanogaster","20.2","0","Oregon R","0.008","ND","16266268"
"Vitamin E","Caenorhabditis elegans","20.6","0","N2","200 µg/mL","Y","17169403"
"Vitamin E","Caenorhabditis elegans","16.6","0","N2","20 µg/mL","Y","17169403"
"Alpha-lipoic acid","Caenorhabditis elegans","21","0","N2","1 mM","Y","18755260"
"Propyl gallate","Caenorhabditis elegans","12","0","N2","1 mM","Y","18755260"
"Quercetin","Caenorhabditis elegans","9","0","N2","200 µM","Y","19043800"
"Metformin","Caenorhabditis elegans","40","0","N2","50 mM","Y","20090912"
"Electrolyzed reduced water","Caenorhabditis elegans","41","0","N2","","Y","20944427"
"Naphthazarin","Caenorhabditis elegans","2","0","N2","50 µM","N","21765926"
"Plumbagin","Caenorhabditis elegans","0","0","N2","7.5 µM","N","21765926"
"Curcumin","Drosophila melanogaster","25.5","0","Ra","100 mM","Y","23063786"
"Sulfamethoxazole","Caenorhabditis elegans","18","0","N2","400 µM","Y","24034891"
"Sulfamethoxazole","Caenorhabditis elegans","34","0","N2","100 µM","Y","24034891"
"Sulfamethoxazole","Caenorhabditis elegans","28","0","N2","200 µM","Y","24034891"
"Lithium Chloride","Caenorhabditis elegans","0.1","0","JK1107","10 mM","ND","24398558"
"Curcumin","Drosophila melanogaster","25.5","0","Ra","100 mM","Y","26136617"
"Cranberry anthocyanin extract","Drosophila melanogaster","6.3","0","Oregon-R-C","5 mg/ml","Y","26159161"
"Fucoxanthin","Drosophila melanogaster","6.2","0","Canton S","1 µM","Y","29504896"
"Torin 1","Drosophila melanogaster","59.09","0","Dahomey","10 µM","Y","29329306"
"L-Valine","Caenorhabditis elegans","7.05","0","N2","5 mM","Y","26620638"
"Casein","Drosophila melanogaster","4.34","0","Canton-S","1.25%","Y","27388939"
"Glucose","Caenorhabditis elegans","0","0","N2","2%","N","26764305"
"Glucose","Caenorhabditis elegans","12.5","0","N2","1%","N","26764305"
"Hydralazine","Brachionus manjavacas","9.01","0","","1 µM","Y","27484416"
"α-Santalol","Caenorhabditis elegans","4.33","0","N2","16 µM","N","30319772"
"α-Santalol","Caenorhabditis elegans","0.94","0","N2","64 µM","N","30319772"
"β-Santalol","Caenorhabditis elegans","-2.73","0","N2","4 µM","N","30319772"
"N-Acetyl Cysteine","Drosophila kikkawai","16","0","","10 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila kikkawai","5.1","0","","10 nM","Y","30243020"
"Naringin","Caenorhabditis elegans","6.95","-0.68","N2","0.5 µM","Y","29375370"
"L-deprenyl","Mus musculus","-0.1","-0.7","B6D2F1","0.25 mg/kg 3x/week","N","8914495"
"D-glucose","Caenorhabditis elegans","-7.75","-0.9","N2","50 mM","Y","17908557"
"Sodium hypophosphite","Zaprionus paravittiger","-4.1","-1.4","","10 mM","N","3721207"
"Resveratrol","Anastrepha ludens","11.2","-1.4","","100 µM","N","19264118"
"Sodium hypophosphite","Zaprionus paravittiger","-8.3","-1.7","","10 mM","Y","3721207"
"Curcumin","Drosophila melanogaster","15.5","-1.9","Oregon R","0.5 mg/g","Y","22653297"
"Ethosuximide","Caenorhabditis elegans","14","-2","N2","4 mg/ml","Y","15653505"
"Quercetin","Caenorhabditis elegans","10","-2","N2","200 µM","Y","19043800"
"N-Acetyl Cysteine","Drosophila kikkawai","5.1","-2","","100 nM","Y","30243020"
"Luteolin","Caenorhabditis elegans","-4.5","-2.03","N2","0.5 µM","Y","29375370"
"Epicatechin","Drosophila melanogaster","-11.44","-2.21","Canton S","1 µM","Y","28066251"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","13.44","-2.29","N2","100 µM","Y","28992589"
"Rapamycin","Drosophila melanogaster","16.35","-2.89","Dahomey","5 µM","Y","28025308"
"Rapamycin","Drosophila melanogaster","12.98","-2.89","Dahomey","10 µM","Y","28025308"
"Rhodiola rosea","Drosophila melanogaster","6.8","-2.9","IF","2.5 mg/ml","N","24472572"
"Quercetin","Caenorhabditis elegans","8","-3","N2","100 µM","N","19043800"
"Curcumin","Drosophila melanogaster","-17","-3","Ra","100 mM","Y","26136617"
"Metformin","Mus musculus","-5","-3","C57BL/6","1%in Standard Diet on 2 Consecutive Weeks Each Month","ND","29167747"
"Resveratrol","Anastrepha ludens","0","-3.4","","100 µM","N","19264118"
"Freeze dried royal jelly","Drosophila melanogaster","8.5","-4","Oregon R","1% w/v","Y","23132575"
"α-Santalol","Caenorhabditis elegans","0.63","-4.16","N2","4 µM","N","30319772"
"α-Santalol","Caenorhabditis elegans","2.57","-4.16","N2","8 µM","N","30319772"
"α‐linolenic acid","Caenorhabditis elegans","15.13","-4.34","N2","10 mM","Y","28772063"
"α‐linolenic acid","Caenorhabditis elegans","15.13","-4.34","N2","10 mM","Y","28772063"
"Epicatechin","Drosophila melanogaster","-3.78","-4.48","Canton S","1 µM","Y","28066251"
"Resveratrol","Anastrepha ludens","-2.8","-4.8","","100 µM","N","19264118"
"Aspirin (Bufferin)","Mus musculus","0.1","-4.8","C57BL/6J","495 µg/mL","N","4788962"
"Curcumin","Drosophila melanogaster","25.8","-5.2","Oregon R","1 mg/g","Y","22653297"
"Curcumin","Drosophila melanogaster","6.2","-5.2","Oregon R","0.5 mg/g","N","22653297"
"Epicatechin","Drosophila melanogaster","-6.49","-5.22","Canton S","0.3µM","Y","28066251"
"Resveratrol","Drosophila melanogaster","-9.9","-5.28","w1118","500 µmol/L","N","29324667"
"Plumbagin","Caenorhabditis elegans","-3","-6","N2","50 µM","N","21765926"
"Rhodiola rosea","Drosophila melanogaster","2.4","-6","IF","2.5 mg/ml","N","24472572"
"Metformin","Mus musculus","-1","-6","C57BL/6","1% In Standard Diet Every Other Week","ND","29167747"
"Aspirin (Bufferin)","Mus musculus","5","-6.1","C57BL/6J","113 µg/mL","N","4788962"
"Menadione","Caenorhabditis elegans","-8.72","-6.36","N2","100 µM","Y","28086197"
"Diethyl Maleate","Caenorhabditis elegans","-6.68","-6.4","N2","1 mM","Y","28086197"
"Quercetin","Drosophila melanogaster","-4.55","-6.7","Canton S","0.5 µM","Y","28066251"
"Resveratrol","Anastrepha ludens","-5.8","-7.3","","100 µM","N","19264118"
"Resveratrol","Anastrepha ludens","2.5","-7.7","","100 µM","N","19264118"
"Quercetin","Caenorhabditis elegans","10","-8","N2","200 µM","N","19043800"
"Oxoline","Caenorhabditis elegans","2","-8","N2","100 µM","N","21765926"
"Sodium hypophosphite","Zaprionus paravittiger","-24.2","-8.1","","60 mM","Y","3721207"
"Quercetin","Drosophila melanogaster","-5.09","-8.2","Canton S","0.3µM","Y","28066251"
"Quercetin","Drosophila melanogaster","-10.2","-8.21","Canton S","1 µM","Y","28066251"
"J147","Drosophila melanogaster","12.5","-8.33","(w1118/+)","2 µM","Y","29316249"
"Glucose","Caenorhabditis elegans","-17.65","-8.33","N2","4%","Y","26764305"
"Resveratrol","Anastrepha ludens","-25.3","-9.5","","100 µM","Y","19264118"
"Dimethylaminoethyl p-chlorophenoxyacetate","Mus musculus","5.9","-9.6","C57BL/6J","702 µg/mL","N","4788962"
"Trimethadione","Caenorhabditis elegans","-7","-10","N2","4 mg/ml","N","15653505"
"Epicatechin","Drosophila melanogaster","-9.08","-10","Canton S","0.3µM","Y","28066251"
"Aspirin (Bufferin)","Mus musculus","-17.5","-10.1","C57BL/6J","242 µg/mL","Y","4788962"
"Chloroquine","Mus musculus","-16.8","-10.8","C57BL/6J","13.2 µg/mL","Y","4788962"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","-7.9","-10.85","N2","800 µM","Y","28992589"
"Acetaminophen","Mus musculus","3.7","-11","C57BL/6J","242 µg/mL","N","4788962"
"Sodium hypophosphite","Zaprionus paravittiger","-24.4","-11.2","","60 mM","Y","3721207"
"Sodim cyclamate","Rattus norvegicus","9.77","-11.28","Wistar","0.43/100 g","Y","5132583"
"Caffeine","Drosophila melanogaster","-22.86","-11.6","Canton-S","0.03%","Y","29093334"
"Caffeine","Drosophila melanogaster","-17.14","-11.6","Canton-S","0.05%","Y","29093334"
"Resveratrol","Anastrepha ludens","-1.4","-12","","100 µM","N","19264118"
"Resveratrol","Anastrepha ludens","-3.3","-12.1","","100 µM","N","19264118"
"Rhodiola rosea","Drosophila melanogaster","-9.1","-12.2","IF","30 mg/ml","Y","24472572"
"Resveratrol","Anastrepha ludens","-4.6","-12.4","","100 µM","N","19264118"
"Galactose","Drosophila melanogaster","-12.6","-12.9","","6.50%","Y","15547319"
"Ascorbic acid","Caenorhabditis elegans","-0.76","-12.9","N2","10 mM","N","27683245"
"Plumbagin","Caenorhabditis elegans","-11","-13","N2","100 µM","Y","21765926"
"Quercetin","Drosophila melanogaster","-2.8","-13.07","Canton S","0.3µM","Y","28066251"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","-16.6","-13.14","N2","1 mM","Y","28992589"
"Kinetin","Zaprionus paravittiger","-2.9","-13.2","","625 ppm","Y","7488181"
"Quercetin","Drosophila melanogaster","-12","-13.84","Canton S","0.5 µM","Y","28066251"
"Resveratrol","Anastrepha ludens","-14.5","-14.4","","100 µM","N","19264118"
"Quercetin","Drosophila melanogaster","-13.79","-14.62","Canton S","1 µM","Y","28066251"
"Chlorpheniramine","Mus musculus","1.4","-14.7","C57BL/6J","0.762 µg/mL","N","4788962"
"Plumbagin","Caenorhabditis elegans","-16","-15","N2","100 µM","Y","21765926"
"Chloroquine","Mus musculus","0.3","-15","C57BL/6J","39.5 µg/mL","N","4788962"
"Rhodiola rosea","Drosophila melanogaster","-11.9","-16.4","IF","30 mg/ml","Y","24472572"
"Galactose","Drosophila melanogaster","-15.9","-17.1","","6.50%","Y","15547319"
"Glucose","Caenorhabditis elegans","-23.6","-17.24","N2","4%","Y","26764305"
"Glucose","Caenorhabditis elegans","-23.75","-20.97","N2","2%","Y","26764305"
"Galactose","Musca domestica","-19.8","-21.9","","20 mg/ml","Y","15547319"
"Taurine","Drosophila melanogaster","-14.29","-23.19","Canton-S","1.50%","Y","29093334"
"Resveratrol","Saccharomyces cerevisiae","-34.8","-25","W303-1A","100 µM","Y","28412652"
"Galactose","Musca domestica","-27.1","-27.1","","20 mg/ml","Y","15547319"
"Butylated hydroxyanisole","Zaprionus paravittiger","-45.9","-40.7","","50 mM","Y","9207858"
"Butylated hydroxyanisole","Zaprionus paravittiger","-31.7","-46.3","","50 mM","Y","9207858"
"Kinetin","Zaprionus paravittiger","-71","-47.1","","3125 ppm","Y","7488181"
"Sodium hypophosphite","Zaprionus paravittiger","-46.9","-47.2","","100 mM","Y","3721207"
"Butylated hydroxyanisole","Zaprionus paravittiger","-63.8","-53.7","","100 mM","Y","9207858"
"Sodium hypophosphite","Zaprionus paravittiger","-58.8","-54.8","","100 mM","Y","3721207"
"Kinetin","Zaprionus paravittiger","-65.7","-55.2","","3125 ppm","Y","7488181"
"Butylated hydroxyanisole","Zaprionus paravittiger","-57.2","-55.2","","100 mM","Y","9207858"
"Sodium hypophosphite","Zaprionus paravittiger","-84.1","-78.1","","500 mM","Y","3721207"
"Sodium hypophosphite","Zaprionus paravittiger","-85.3","-78.6","","500 mM","Y","3721207"
"Sodium hypophosphite","Zaprionus paravittiger","-88.5","-91.4","","1 mM","Y","3721207"
"Sodium hypophosphite","Zaprionus paravittiger","-89.8","-94.9","","1 mM","Y","3721207"
"Calcium gluconate","Drosophila melanogaster","-3.7","","Oregon R","0.001 M","ND","110607"
"Calcium gluconate","Drosophila melanogaster","-13.2","","Oregon R","0.01 M","ND","110607"
"Calcium lactate","Drosophila melanogaster","-10.7","","Oregon R","0.01 M","ND","110607"
"Calcium gluconate","Drosophila melanogaster","-56.6","","Oregon R","0.1 M","ND","110607"
"Calcium lactate","Drosophila melanogaster","1.8","","Oregon R","0.001 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","-9.3","","Oregon R","1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","-5.2","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","0","","Oregon R","0.01 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","0","","Oregon R","0.001 M","ND","110607"
"Calcium lactate","Drosophila melanogaster","-66.1","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","-1.8","","Oregon R","0.001 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","0","","Oregon R","0.5M 2x/week","ND","110607"
"Gluconic acid","Drosophila melanogaster","3.8","","Oregon R","0.25M 2x/week","ND","110607"
"Gluconic acid","Drosophila melanogaster","3.8","","Oregon R","0.01M 2x/week","ND","110607"
"Gluconic acid","Drosophila melanogaster","5.3","","Oregon R","0.01 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","9.3","","Oregon R","0.5 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","12.3","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","20.8","","Oregon R","0.1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","14.3","","Oregon R","0.1 M","ND","110607"
"Lactic acid","Drosophila melanogaster","-1.9","","Oregon R","0.5M","ND","110607"
"Lactic acid","Drosophila melanogaster","-32.7","","Oregon R","1 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","22.2","","Oregon R","0.25 M","ND","110607"
"Gluconic acid","Drosophila melanogaster","7.2","","Oregon R","0.01 M","ND","110607"
"Lactic acid","Drosophila melanogaster","3.6","","Oregon R","0.01M","ND","110607"
"Lactic acid","Drosophila melanogaster","3.6","","Oregon R","0.001 M","ND","110607"
"Lactic acid","Drosophila melanogaster","14","","Oregon R","0.1M","ND","110607"
"Lactic acid","Drosophila melanogaster","8","","Oregon R","0.001 M","ND","110607"
"Lactic acid","Drosophila melanogaster","12","","Oregon R","0.01M","ND","110607"
"Lactic acid","Drosophila melanogaster","15.5","","Oregon R","0.1M","ND","110607"
"Tartaric acid","Drosophila melanogaster","0","","Oregon R","0.001 M","ND","110607"
"Tartaric acid","Drosophila melanogaster","-72","","Oregon R","0.1M","ND","110607"
"Tartaric acid","Drosophila melanogaster","6","","Oregon R","0.01M","ND","110607"
"Lactic acid","Drosophila melanogaster","15.4","","Oregon R","0.25M","ND","110607"
"Diiodomethane","Drosophila melanogaster","29.3","","","10 µg/ml","ND","412727"
"Polypeptide Pineal extract","Rattus norvegicus","25","","","0.5 mg, 5 times a week","Y","575333"
"Citrate","Mytilina brevispina","51.7","","","0.25% on alternate days","ND","804507"
"Butylated hydroxytoluene","Mus musculus","30.1","","BaLB/c","0.75%","Y","448040"
"Edetate Calcium Disodium","Mytilina brevispina","49.4","","","0.25% on alternate days","ND","804507"
"Butylated hydroxytoluene","Mus musculus","24.8","","BaLB/c","0.75%","Y","448040"
"Tartrate","Mytilina brevispina","43.7","","","0.25% on alternate days","ND","804507"
"EGTA","Mytilina brevispina","75.9","","","0.25% on alternate days","ND","804507"
"Ascorbic acid","Caenorhabditis elegans","0","","N2","80 µg/ml","N","3374177"
"Vitamin E","Caenorhabditis elegans","4","","N2","400 µg/ml","N","3374177"
"Vitamin E","Caenorhabditis elegans","9","","N2","100 µg/ml","N","3374177"
"Vitamin E","Caenorhabditis elegans","22","","N2","200 µg/ml","Y","3374177"
"Vitamin E","Caenorhabditis elegans","17","","N2","200 µg/ml","Y","3374177"
